stop_id_from;stop_id_to;movements_norm
614;503;9.35019
9;13;9.31092
657;570;9.28331
16;8;9.2714
643;103;9.23489
237;445;9.23402
660;639;9.22634
66;57;9.22422
73;60;9.20488
719;570;9.18531
426;453;9.17073
52;39;9.158
594;16;9.15034
652;713;9.14874
835;39;9.14067
796;582;9.112
737;783;9.07451
634;695;9.06417
31;20;9.03716
456;16;9.0238
835;786;9.01116
503;18;9.002
61;70;8.99958
704;594;8.99775
58;837;8.98745
623;104;8.98347
102;675;8.97762
600;104;8.95465
618;541;8.95321
563;616;8.94819
59;42;8.93229
41;752;8.91451
653;677;8.85765
355;138;8.85222
68;74;8.847
9;426;8.84488
15;29;8.83181
113;103;8.81464
57;42;8.80996
406;425;8.80598
467;40;8.8039
639;752;8.80093
643;614;8.7888
13;639;8.78842
652;18;8.71883
575;115;8.71741
737;779;8.70371
535;616;8.70016
9;102;8.69258
665;594;8.68808
628;491;8.67573
509;102;8.65609
835;657;8.65239
509;639;8.63973
616;108;8.62498
451;425;8.60945
639;41;8.60797
60;39;8.60192
39;102;8.59647
445;114;8.58914
95;86;8.58846
657;514;8.57293
29;37;8.55025
660;98;8.54919
843;827;8.535
856;827;8.535
67;74;8.53222
7;623;8.50451
408;465;8.4935
626;652;8.47986
87;92;8.45847
695;752;8.44176
676;614;8.43417
17;32;8.43189
66;52;8.42892
453;447;8.41813
723;594;8.41123
618;18;8.39179
33;39;8.38886
612;600;8.38009
514;469;8.37497
600;713;8.35049
467;614;8.34411
665;695;8.33016
31;28;8.32997
652;503;8.31997
582;461;8.29557
835;770;8.29104
11;407;8.28481
11;102;8.27109
803;18;8.26685
467;594;8.26056
433;456;8.25776
605;652;8.23916
9;448;8.20638
660;491;8.19466
652;12;8.17283
303;310;8.17128
441;7;8.17072
582;7;8.16386
107;40;8.1526
105;639;8.14445
620;660;8.13665
9;447;8.13057
88;42;8.10306
3;29;8.08213
39;469;8.07653
409;16;8.0704
407;408;8.06762
437;556;8.05303
58;68;8.0521
626;115;8.05041
66;657;8.04714
660;56;8.03595
17;509;8.03463
62;657;8.0082
38;30;7.99659
786;657;7.99326
15;102;7.99185
605;614;7.98624
407;535;7.97896
103;628;7.97689
704;37;7.97134
610;660;7.96469
31;10;7.96452
661;604;7.96436
468;408;7.94745
719;101;7.94469
674;103;7.93419
660;469;7.93352
9;639;7.92318
50;67;7.91754
660;548;7.91226
15;616;7.911
639;56;7.89912
535;639;7.89457
652;514;7.89072
779;818;7.85136
57;49;7.82856
103;713;7.8219
652;98;7.81509
638;598;7.80676
115;514;7.80076
600;31;7.79805
688;114;7.79288
656;115;7.76931
445;425;7.76537
9;421;7.76467
19;29;7.7471
398;517;7.74603
31;12;7.74428
639;779;7.73796
737;56;7.72918
53;58;7.72558
510;639;7.71969
69;657;7.71822
543;650;7.71811
487;114;7.71762
652;541;7.71723
9;616;7.71188
440;114;7.70688
771;746;7.7
503;425;7.69141
803;758;7.68965
684;660;7.68696
407;600;7.68645
650;32;7.67434
661;589;7.6712
102;637;7.65085
770;741;7.6374
32;108;7.6297
17;639;7.61655
600;41;7.61018
713;56;7.58748
488;594;7.58163
32;513;7.57764
23;32;7.54809
665;105;7.54581
59;101;7.52939
634;614;7.52848
543;113;7.5266
615;733;7.52486
470;7;7.52246
407;410;7.49084
333;7;7.48659
41;737;7.47725
35;114;7.47691
16;10;7.4678
73;39;7.46612
691;594;7.4648
447;380;7.4637
535;102;7.45899
623;695;7.45843
723;37;7.45147
824;818;7.43322
86;741;7.42277
115;558;7.41967
468;453;7.40781
67;72;7.40394
634;12;7.4036
114;598;7.39968
17;114;7.39912
463;451;7.39807
594;541;7.39138
11;465;7.38463
115;469;7.37019
56;68;7.36938
614;18;7.35846
333;9;7.33564
7;27;7.31374
11;426;7.31352
60;49;7.30736
406;449;7.29496
108;540;7.27304
11;616;7.2702
440;13;7.24304
42;570;7.23932
41;56;7.23702
310;515;7.23449
575;652;7.22091
105;40;7.21865
786;39;7.21516
426;447;7.21463
835;548;7.20084
704;618;7.1982
824;803;7.19185
601;461;7.19178
491;16;7.18509
63;70;7.17182
99;653;7.15194
30;21;7.14885
605;103;7.14804
741;102;7.14619
786;770;7.13131
103;570;7.13047
652;56;7.11675
593;115;7.11316
737;58;7.10998
661;686;7.10691
639;36;7.09831
727;660;7.09758
115;447;7.09066
601;7;7.08156
39;541;7.06549
106;110;7.06208
310;445;7.04973
806;59;7.03265
741;694;7.03205
639;771;7.02608
515;40;7.0219
758;101;7.01577
407;447;7.00681
517;616;6.98578
470;600;6.98085
381;515;6.97736
741;514;6.97531
575;614;6.95936
694;616;6.95684
652;491;6.9518
570;503;6.93053
741;570;6.92777
31;24;6.92761
440;535;6.92192
616;106;6.92138
768;39;6.91782
103;447;6.91296
470;15;6.89168
300;639;6.8882
547;594;6.8866
676;105;6.88332
445;639;6.88143
17;609;6.87648
719;541;6.87404
827;835;6.87291
463;639;6.87051
50;82;6.86896
634;18;6.8684
11;15;6.86426
103;469;6.85631
16;12;6.856
62;57;6.85424
300;515;6.85349
688;102;6.85194
653;611;6.84735
445;651;6.839
407;509;6.83854
451;416;6.83704
53;67;6.82988
103;481;6.82369
75;59;6.81928
713;779;6.8171
515;602;6.8125
106;482;6.8053
639;837;6.803
398;114;6.80283
105;618;6.80011
42;39;6.79986
620;105;6.79847
407;477;6.78497
69;57;6.78156
62;52;6.77004
618;12;6.76881
509;563;6.75443
86;42;6.75314
15;40;6.74414
488;547;6.73707
333;3;6.7358
440;102;6.72568
657;548;6.72288
723;618;6.71832
372;431;6.71622
381;547;6.69886
660;481;6.67175
467;503;6.66981
13;32;6.66007
445;515;6.65517
719;18;6.64795
535;40;6.64734
445;416;6.63081
445;16;6.63007
691;37;6.62501
448;410;6.62137
7;17;6.6184
105;695;6.60839
115;570;6.60262
217;250;6.59658
752;58;6.59238
465;375;6.59197
623;41;6.59062
381;467;6.58574
835;514;6.58523
448;421;6.58523
401;535;6.58502
628;16;6.58084
660;447;6.57818
644;571;6.57195
575;103;6.56441
780;741;6.5537
410;459;6.55246
71;57;6.55208
797;741;6.5514
58;70;6.5444
657;481;6.54018
100;56;6.52256
618;491;6.51659
18;10;6.51551
416;12;6.50157
61;74;6.49984
623;713;6.49888
772;660;6.49673
111;40;6.48995
835;12;6.48252
71;39;6.48172
15;487;6.48091
467;41;6.47881
135;140;6.47582
741;653;6.47091
719;102;6.46999
653;565;6.46446
7;487;6.45896
515;594;6.44967
491;10;6.44665
15;27;6.44543
828;786;6.44508
614;12;6.44199
598;511;6.4405
441;15;6.43473
33;616;6.43439
115;481;6.43339
234;220;6.43292
660;609;6.43268
850;786;6.42742
589;594;6.4224
778;741;6.42011
752;834;6.4195
600;616;6.41752
623;114;6.40649
547;114;6.40503
741;541;6.39555
639;750;6.38014
89;96;6.37206
56;70;6.37098
75;60;6.36092
59;741;6.3541
99;661;6.35004
91;86;6.34892
758;42;6.34647
806;803;6.34056
217;466;6.33668
589;105;6.3332
3;15;6.33005
401;477;6.31842
477;600;6.31842
657;541;6.31352
470;609;6.31297
102;677;6.31123
835;541;6.30934
421;453;6.30728
694;102;6.29074
56;63;6.29026
575;643;6.28844
30;10;6.28027
52;42;6.27744
428;32;6.27687
105;628;6.27616
61;72;6.26868
491;425;6.2651
688;37;6.25903
600;653;6.25351
36;31;6.24873
786;694;6.24052
105;570;6.23503
547;639;6.22627
487;535;6.22121
11;447;6.21594
7;13;6.21582
729;509;6.20326
93;86;6.20091
384;407;6.19845
406;16;6.18624
503;439;6.18512
